id,property_type,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,longitude,latitude,number_of_reviews,availability_365,review_scores_rating,minimum_nights,listing_url,region,price_per_person
367366,House,Entire home/apt,135.0,8,2.5,3.0,f,-97.6846,30.265259999999998,80,24,96.0,2,https://www.airbnb.com/rooms/367366,East,16.875
367445,House,Entire home/apt,101.0,4,1.0,1.0,t,-97.72635,30.306759999999997,185,344,98.0,3,https://www.airbnb.com/rooms/367445,Central,25.25
367789,House,Entire home/apt,2150.0,8,4.5,4.0,f,-97.77150999999999,30.30665,1,0,100.0,4,https://www.airbnb.com/rooms/367789,Central,268.75
369090,Apartment,Entire home/apt,650.0,7,1.0,2.0,f,-97.75180999999999,30.25858,0,0,95.97287683414851,1,https://www.airbnb.com/rooms/369090,South,92.85714285714286
371539,Condominium,Entire home/apt,490.0,10,1.5,3.0,f,-97.74185,30.26551,187,318,95.0,2,https://www.airbnb.com/rooms/371539,Central,49.0
375142,Townhouse,Private room,175.0,2,1.5,1.0,f,-97.74519000000001,30.253740000000004,2,0,100.0,2,https://www.airbnb.com/rooms/375142,South,87.5
381238,Loft,Entire home/apt,595.0,4,2.5,2.0,f,-97.74438,30.252259999999996,0,1,95.97287683414851,3,https://www.airbnb.com/rooms/381238,South,148.75
381240,Townhouse,Entire home/apt,575.0,4,2.5,2.0,f,-97.74436999999999,30.2524,3,75,100.0,3,https://www.airbnb.com/rooms/381240,South,143.75
385602,House,Entire home/apt,1200.0,10,3.0,5.0,f,-97.86306,30.169759999999997,0,365,95.97287683414851,3,https://www.airbnb.com/rooms/385602,South,120.0
403090,Guesthouse,Entire home/apt,75.0,5,1.0,1.0,t,-97.7628,30.246579999999998,24,0,98.0,3,https://www.airbnb.com/rooms/403090,South,15.0
406911,Guest suite,Entire home/apt,95.0,3,1.0,1.0,t,-97.756,30.259090000000004,282,348,99.0,1,https://www.airbnb.com/rooms/406911,South,31.666666666666668
412290,Apartment,Private room,95.0,2,1.5,1.0,f,-97.7535,30.239440000000002,52,0,93.0,1,https://www.airbnb.com/rooms/412290,South,47.5
424279,Apartment,Entire home/apt,95.0,4,2.0,2.0,t,-97.7522,30.24035,19,127,97.0,30,https://www.airbnb.com/rooms/424279,South,23.75
430683,House,Entire home/apt,695.0,5,2.0,3.0,f,-97.76182,30.33945,32,45,100.0,30,https://www.airbnb.com/rooms/430683,North,139.0
